file_name,class,id,race,mask,gender,age
000001_female_Asian_45/incorrect_mask.jpg,10,000001,Asian,incorrect_mask,female,45
000001_female_Asian_45/incorrect_mask2.jpg,4,000001,Asian,incorrect_mask2,female,45
000001_female_Asian_45/incorrect_mask3.jpg,4,000001,Asian,incorrect_mask3,female,45
000001_female_Asian_45/incorrect_mask4.jpg,4,000001,Asian,incorrect_mask4,female,45
000001_female_Asian_45/incorrect_mask5.jpg,4,000001,Asian,incorrect_mask5,female,45
000001_female_Asian_45/mask1.jpg,4,000001,Asian,mask1,female,45
000001_female_Asian_45/mask2.jpg,4,000001,Asian,mask2,female,45
000001_female_Asian_45/mask3.jpg,4,000001,Asian,mask3,female,45
000001_female_Asian_45/mask4.jpg,4,000001,Asian,mask4,female,45
000001_female_Asian_45/mask5.jpg,4,000001,Asian,mask5,female,45
000001_female_Asian_45/normal.jpg,16,000001,Asian,normal,female,45
000001_female_Asian_45/normal2.jpg,4,000001,Asian,normal2,female,45
000001_female_Asian_45/normal3.jpg,4,000001,Asian,normal3,female,45
000001_female_Asian_45/normal4.jpg,4,000001,Asian,normal4,female,45
000001_female_Asian_45/normal5.jpg,4,000001,Asian,normal5,female,45
000002_female_Asian_52/incorrect_mask.jpg,10,000002,Asian,incorrect_mask,female,52
000002_female_Asian_52/incorrect_mask2.jpg,4,000002,Asian,incorrect_mask2,female,52
000002_female_Asian_52/incorrect_mask3.jpg,4,000002,Asian,incorrect_mask3,female,52
000002_female_Asian_52/incorrect_mask4.jpg,4,000002,Asian,incorrect_mask4,female,52
000002_female_Asian_52/incorrect_mask5.jpg,4,000002,Asian,incorrect_mask5,female,52
000002_female_Asian_52/mask1.jpg,4,000002,Asian,mask1,female,52
000002_female_Asian_52/mask2.jpg,4,000002,Asian,mask2,female,52
000002_female_Asian_52/mask3.jpg,4,000002,Asian,mask3,female,52
000002_female_Asian_52/mask4.jpg,4,000002,Asian,mask4,female,52
000002_female_Asian_52/mask5.jpg,4,000002,Asian,mask5,female,52
000002_female_Asian_52/normal.jpg,16,000002,Asian,normal,female,52
000002_female_Asian_52/normal2.jpg,4,000002,Asian,normal2,female,52
000002_female_Asian_52/normal3.jpg,4,000002,Asian,normal3,female,52
000002_female_Asian_52/normal4.jpg,4,000002,Asian,normal4,female,52
000002_female_Asian_52/normal5.jpg,4,000002,Asian,normal5,female,52
000004_male_Asian_54/incorrect_mask.jpg,7,000004,Asian,incorrect_mask,male,54
000004_male_Asian_54/incorrect_mask2.jpg,1,000004,Asian,incorrect_mask2,male,54
000004_male_Asian_54/incorrect_mask3.jpg,1,000004,Asian,incorrect_mask3,male,54
000004_male_Asian_54/incorrect_mask4.jpg,1,000004,Asian,incorrect_mask4,male,54
000004_male_Asian_54/incorrect_mask5.jpg,1,000004,Asian,incorrect_mask5,male,54
000004_male_Asian_54/mask1.jpg,1,000004,Asian,mask1,male,54
000004_male_Asian_54/mask2.jpg,1,000004,Asian,mask2,male,54
000004_male_Asian_54/mask3.jpg,1,000004,Asian,mask3,male,54
000004_male_Asian_54/mask4.jpg,1,000004,Asian,mask4,male,54
000004_male_Asian_54/mask5.jpg,1,000004,Asian,mask5,male,54
000004_male_Asian_54/normal.jpg,13,000004,Asian,normal,male,54
000004_male_Asian_54/normal2.jpg,1,000004,Asian,normal2,male,54
000004_male_Asian_54/normal3.jpg,1,000004,Asian,normal3,male,54
000004_male_Asian_54/normal4.jpg,1,000004,Asian,normal4,male,54
000004_male_Asian_54/normal5.jpg,1,000004,Asian,normal5,male,54
000005_female_Asian_58/incorrect_mask.jpg,10,000005,Asian,incorrect_mask,female,58
000005_female_Asian_58/incorrect_mask2.jpg,4,000005,Asian,incorrect_mask2,female,58
000005_female_Asian_58/incorrect_mask3.jpg,4,000005,Asian,incorrect_mask3,female,58
000005_female_Asian_58/incorrect_mask4.jpg,4,000005,Asian,incorrect_mask4,female,58
000005_female_Asian_58/incorrect_mask5.jpg,4,000005,Asian,incorrect_mask5,female,58
000005_female_Asian_58/mask1.jpg,4,000005,Asian,mask1,female,58
000005_female_Asian_58/mask2.jpg,4,000005,Asian,mask2,female,58
000005_female_Asian_58/mask3.jpg,4,000005,Asian,mask3,female,58
